epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3297.44,0.31919,0.35831,0.27465,0.88006,0.97411,0.39648,0.44248,0.43317,0.97411,0.39648,0.44248,0.43291,0.23062,0.26133,0.20579,0.81513,0.0008714,0.0008714,0.0008714
59,3655.56,0.31589,0.35214,0.27069,0.88209,0.97319,0.39501,0.4403,0.42813,0.97319,0.39501,0.4403,0.42792,0.24084,0.29464,0.2185,0.82272,0.0008516,0.0008516,0.0008516
60,4027.75,0.3184,0.3775,0.28244,0.88789,0.96754,0.39207,0.44175,0.43068,0.96754,0.39207,0.44175,0.43119,0.22896,0.28727,0.21876,0.8182,0.0008318,0.0008318,0.0008318
61,4403.52,0.32029,0.35378,0.27322,0.88715,0.97319,0.39354,0.45256,0.44311,0.97319,0.39354,0.45256,0.44191,0.21909,0.28863,0.19759,0.81554,0.000812,0.000812,0.000812
62,4780.89,0.31898,0.3641,0.27075,0.89481,0.99852,0.39354,0.45759,0.45018,0.99852,0.39354,0.45759,0.44926,0.21958,0.26237,0.1909,0.79969,0.0007922,0.0007922,0.0007922
63,5151.46,0.31793,0.37111,0.26277,0.90074,0.99121,0.3906,0.46026,0.45262,0.97108,0.39447,0.46026,0.44909,0.2081,0.26715,0.19206,0.8026,0.0007724,0.0007724,0.0007724
64,5522.46,0.3103,0.36427,0.26803,0.88924,0.99209,0.39648,0.44598,0.43862,0.99209,0.39648,0.44598,0.43842,0.21691,0.26404,0.18953,0.80667,0.0007526,0.0007526,0.0007526
65,5892.37,0.30153,0.3429,0.25398,0.88517,0.97819,0.39501,0.46025,0.45121,0.97819,0.39501,0.46025,0.44859,0.2167,0.28327,0.1823,0.80846,0.0007328,0.0007328,0.0007328
66,6263.06,0.30773,0.36293,0.25793,0.87474,0.98578,0.3906,0.45081,0.43926,0.98578,0.3906,0.45081,0.44033,0.2227,0.27193,0.19252,0.81498,0.000713,0.000713,0.000713
67,6644.15,0.30394,0.35618,0.26757,0.89938,0.98808,0.39354,0.43817,0.42646,0.98808,0.39354,0.43817,0.42832,0.23904,0.24853,0.20455,0.8253,0.0006932,0.0006932,0.0006932
68,7020.18,0.31509,0.37789,0.26892,0.88209,0.98341,0.39354,0.44947,0.43815,0.98341,0.39354,0.44947,0.44102,0.21702,0.25351,0.19983,0.80451,0.0006734,0.0006734,0.0006734
69,381.388,0.29364,0.33199,0.24848,0.86406,0.99628,0.3928,0.45193,0.44566,0.99628,0.3928,0.45193,0.44389,0.19965,0.24204,0.18822,0.79042,0.0006536,0.0006536,0.0006536
70,736.156,0.30175,0.3441,0.25461,0.88951,0.99309,0.39501,0.44816,0.439,0.99309,0.39501,0.44816,0.43951,0.20882,0.24265,0.18544,0.8007,0.0006338,0.0006338,0.0006338
71,1091.64,0.28476,0.33517,0.24743,0.88212,0.97364,0.3906,0.45913,0.45011,0.97364,0.3906,0.45913,0.4512,0.20801,0.26009,0.19307,0.80434,0.000614,0.000614,0.000614
72,1460.58,0.30664,0.3416,0.26004,0.92495,0.98405,0.39354,0.4472,0.44098,0.98405,0.39354,0.4472,0.4405,0.20752,0.24891,0.18773,0.80611,0.0005942,0.0005942,0.0005942
73,1824.89,0.29604,0.3254,0.25217,0.89183,0.9677,0.396,0.44885,0.4423,0.9677,0.396,0.44885,0.43957,0.19517,0.26517,0.19449,0.79493,0.0005744,0.0005744,0.0005744
74,2183.17,0.299,0.33516,0.24369,0.88264,0.98753,0.39648,0.46508,0.45643,0.98753,0.39648,0.46508,0.45656,0.20821,0.2572,0.18213,0.80332,0.0005546,0.0005546,0.0005546
75,2541.2,0.28634,0.33803,0.23905,0.87044,0.99451,0.39501,0.45538,0.44994,0.99451,0.39501,0.45538,0.44796,0.20075,0.24176,0.16948,0.79837,0.0005348,0.0005348,0.0005348
76,2890.66,0.28315,0.32151,0.23151,0.86706,0.99136,0.39501,0.46151,0.45398,0.99136,0.39501,0.46151,0.45353,0.19905,0.24262,0.17414,0.80216,0.000515,0.000515,0.000515
77,3242.45,0.26749,0.31117,0.22297,0.85778,0.99253,0.39354,0.45817,0.45185,0.99253,0.39354,0.45817,0.45053,0.1861,0.24149,0.16753,0.79433,0.0004952,0.0004952,0.0004952
78,3595.16,0.26623,0.30695,0.22272,0.86151,0.99513,0.39648,0.45916,0.45283,0.99513,0.39648,0.45916,0.4512,0.18406,0.23925,0.16161,0.78922,0.0004754,0.0004754,0.0004754
79,3947.08,0.27025,0.3242,0.23285,0.87045,0.99332,0.39648,0.44915,0.44237,0.99463,0.39501,0.44915,0.44065,0.19865,0.25435,0.17101,0.80234,0.0004556,0.0004556,0.0004556
80,4309.8,0.27527,0.30814,0.23253,0.86296,0.99364,0.39648,0.45139,0.44526,0.99364,0.39648,0.45139,0.44358,0.19007,0.23368,0.16636,0.79392,0.0004358,0.0004358,0.0004358
81,4679.51,0.26613,0.30993,0.22029,0.90303,0.99222,0.39501,0.46032,0.45519,0.99222,0.39501,0.46032,0.45222,0.1749,0.2228,0.16255,0.78809,0.000416,0.000416,0.000416
